,Water,Muscle,Lung Inhale,Dry spine,Dry rib,Adipose tissue,Blood,Heart,Kidney,Liver,Lymph,Pancreas,Intestine,Skull,Cartilage,Brain,Spleen,Iodine blood,Iron,Pmma,Aluminum,Titanium,Air,Graphite,Lead,Breat Mammary,Skin,Iodine,Eye lens,Ovary,Red marrow,Yellow marrow,Testis,Thyroid,Trabecular,Bladder,dry spine water,dry rib water,skull water
H,0.112,0.10199999999999999,0.10299999999999999,6.3E-2,3.4000000000000002E-2,0.114,0.10199999999999999,0.104,0.10299999999999999,0.10199999999999999,0.108,0.106,0.106,0.05,9.6000000000000002E-2,0.107,0.10299999999999999,0.101184,,0.08,,,,,,0.106,0.1,,9.6000000000000002E-2,0.105,0.105,0.115,0.106,0.104,7.9000000000000001E-2,0.105,3.4000000000000002E-2,3.4000000000000002E-2,0.05
He,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,0.14299999999999999,0.105,0.26100000000000001,0.155,0.59799999999999998,0.11,0.13900000000000001,0.13200000000000001,0.13900000000000001,4.1000000000000002E-2,0.16900000000000001,0.115,0.21199999999999999,9.9000000000000005E-2,0.14499999999999999,0.113,0.10911999999999999,,0.6,,,1.2400000000000001E-4,1,,0.33200000000000002,0.20399999999999999,,0.19500000000000001,9.2999999999999999E-2,0.41399999999999998,0.64400000000000002,9.9000000000000005E-2,0.11899999999999999,0.63790000000000002,9.6000000000000002E-2,0.155,0.155,0.21199999999999999
N,,3.4000000000000002E-2,3.1E-2,3.9E-2,4.2000000000000003E-2,7.0000000000000001E-3,3.3000000000000002E-2,2.9000000000000001E-2,0.03,0.03,1.0999999999999999E-2,2.1999999999999999E-2,2.1999999999999999E-2,0.04,2.1999999999999999E-2,2.1999999999999999E-2,3.2000000000000001E-2,3.2736000000000001E-2,,,,,0.75526800000000005,,,0.03,4.2000000000000003E-2,,5.7000000000000002E-2,2.4E-2,3.4000000000000002E-2,7.0000000000000001E-3,0.02,2.4E-2,4.2299999999999997E-2,2.5999999999999999E-2,4.2000000000000003E-2,4.2000000000000003E-2,0.04
O,0.88800000000000001,0.71,0.749,0.436,0.435,0.27800000000000002,0.745,0.71799999999999997,0.72399999999999998,0.71599999999999997,0.83199999999999996,0.69399999999999995,0.751,0.435,0.74399999999999999,0.71199999999999997,0.74099999999999999,0.73904000000000003,,0.32,,,0.23178099999999999,,,0.52700000000000002,0.64500000000000002,,0.64600000000000002,0.76800000000000002,0.439,0.23100000000000001,0.76600000000000001,0.745,9.8799999999999999E-2,0.76100000000000001,0.435,0.435,0.435
F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na,,1E-3,2E-3,1E-3,1E-3,1E-3,1E-3,1E-3,2E-3,2E-3,3.0000000000000001E-3,2E-3,1E-3,1E-3,5.0000000000000001E-3,2E-3,1E-3,9.9200000000000004E-4,,,,,,,,1E-3,2E-3,,1E-3,2E-3,,1E-3,2E-3,2E-3,,2E-3,1E-3,1E-3,1E-3
Mg,,,,1E-3,2E-3,,,,,,,,,2E-3,,,,,,,,,,,,,,,,,,,,,,,2E-3,2E-3,2E-3
Al,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
P,,2E-3,2E-3,6.0999999999999999E-2,0.10299999999999999,,1E-3,2E-3,2E-3,3.0000000000000001E-3,,2E-3,1E-3,8.1000000000000003E-2,2.1999999999999999E-2,4.0000000000000001E-3,3.0000000000000001E-3,9.9200000000000004E-4,,,,,,,,1E-3,1E-3,,1E-3,2E-3,1E-3,,1E-3,1E-3,,2E-3,0.10299999999999999,0.10299999999999999,8.1000000000000003E-2
S,,3.0000000000000001E-3,3.0000000000000001E-3,3.0000000000000001E-3,3.0000000000000001E-3,1E-3,2E-3,2E-3,2E-3,3.0000000000000001E-3,1E-3,1E-3,1E-3,3.0000000000000001E-3,8.9999999999999993E-3,2E-3,2E-3,1.9840000000000001E-3,,,,,,,,2E-3,2E-3,,3.0000000000000001E-3,2E-3,2E-3,1E-3,2E-3,1E-3,,2E-3,3.0000000000000001E-3,3.0000000000000001E-3,3.0000000000000001E-3
Cl,,1E-3,3.0000000000000001E-3,1E-3,,1E-3,3.0000000000000001E-3,2E-3,2E-3,2E-3,4.0000000000000001E-3,2E-3,2E-3,,3.0000000000000001E-3,3.0000000000000001E-3,2E-3,2.9759999999999999E-3,,,,,,,,1E-3,3.0000000000000001E-3,,1E-3,2E-3,2E-3,1E-3,2E-3,2E-3,,3.0000000000000001E-3,,,
Ar,,,,,,,,,,,,,,,,,,,,,,,1.2827E-2,,,,,,,,,,,,,,,,
K,,4.0000000000000001E-3,2E-3,1E-3,,,2E-3,3.0000000000000001E-3,2E-3,3.0000000000000001E-3,,2E-3,1E-3,,,3.0000000000000001E-3,3.0000000000000001E-3,1.9840000000000001E-3,,,,,,,,,1E-3,,,2E-3,2E-3,,2E-3,1E-3,,3.0000000000000001E-3,,,
Ca,,,,0.13300000000000001,0.22500000000000001,,,,1E-3,,,,,0.17599999999999999,,,,,,,,,,,,,,,,,,,,,0.14199999999999999,,0.22500000000000001,0.22500000000000001,0.17599999999999999
Sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ti,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe,,,,,,,1E-3,,,,,,,,,,,9.9200000000000004E-4,1,,,,,,,,,,,,1E-3,,,,,,,,
I,,,,,,,,,,,,,,,,,,8.0000000000000002E-3,,,,,,,,,,1,,,,,,1E-3,,,,,
Pb,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Density,1,1.05,0.28999999999999998,1.42,1.92,0.95,1.06,1.05,1.05,1.06,1.03,1.04,1.03,1.61,1.1000000000000001,1.04,1.06,1.0909599999999999,7.86,1.19,2.6941000000000002,4.53,1.2049999999999999E-3,1.82,11.34,1.02,1.0900000000000001,4.9329999999999998,1.07,1.05,1.03,0.98,1.04,1.05,1.1399999999999999,1.04,1.4,1.55,1.5
